Scenario,Pedestrian Collisions,Environment Collisions,Timeout,Minimum Distance Exceeded
Scene0_0.3_1_unaware,0,0,0,1
Scene0_0.3_1_sf,0,0,0,1
Scene0_0.3_1_rvo,0,0,0,1
Scene0_0.3_1_sacadrl,0,0,0,1
Scene0_0.4_1_unaware,0,0,0,1
Scene0_0.4_1_sf,0,0,0,1
Scene0_0.4_1_rvo,0,0,0,1
Scene0_0.4_1_sacadrl,0,0,0,1
Scene0_0.5_1_unaware,0,0,0,1
Scene0_0.5_1_sf,0,0,0,1
Scene0_0.5_1_rvo,1,0,0,1
Scene0_0.5_1_sacadrl,0,0,0,1
Scene0_0.7_1_unaware,0,0,0,1
Scene0_0.7_1_sf,0,0,0,1
Scene0_0.7_1_rvo,0,0,0,1
Scene0_0.7_1_sacadrl,0,0,0,1
Scene0_1.0_1_unaware,0,0,0,1
Scene0_1.0_1_sf,0,0,0,1
Scene0_1.0_1_rvo,0,0,0,1
Scene0_1.0_1_sacadrl,0,0,0,1
Scene0_1.5_1_unaware,1,0,0,2
Scene0_1.5_1_sf,0,0,0,1
Scene0_1.5_1_rvo,1,0,0,2
Scene0_1.5_1_sacadrl,0,0,0,1
Scene1_0.3_1_unaware,0,0,0,3
Scene1_0.3_1_sf,0,0,0,3
Scene1_0.3_1_rvo,0,0,0,3
Scene1_0.3_1_sacadrl,0,0,0,3
Scene1_0.4_1_unaware,0,0,0,3
Scene1_0.4_1_sf,0,0,0,3
Scene1_0.4_1_rvo,0,0,0,3
Scene1_0.4_1_sacadrl,0,0,0,3
Scene1_0.5_1_unaware,0,0,0,3
Scene1_0.5_1_sf,0,0,0,3
Scene1_0.5_1_rvo,0,0,0,2
Scene1_0.5_1_sacadrl,0,0,0,3
Scene1_0.7_1_unaware,0,0,0,3
Scene1_0.7_1_sf,0,0,0,3
Scene1_0.7_1_rvo,0,0,0,2
Scene1_0.7_1_sacadrl,0,0,0,2
Scene1_1.0_1_unaware,0,0,0,3
Scene1_1.0_1_sf,0,0,0,3
Scene1_1.0_1_rvo,0,0,0,2
Scene1_1.0_1_sacadrl,1,0,0,3
Scene1_1.5_1_unaware,0,0,0,3
Scene1_1.5_1_sf,0,0,0,3
Scene1_1.5_1_rvo,0,0,0,1
Scene1_1.5_1_sacadrl,0,0,0,2
Scene2_0.3_1_unaware,0,0,0,1
Scene2_0.3_1_sf,0,0,0,1
Scene2_0.3_1_rvo,0,0,0,1
Scene2_0.3_1_sacadrl,0,0,0,1
Scene2_0.4_1_unaware,0,0,0,1
Scene2_0.4_1_sf,0,0,0,1
Scene2_0.4_1_rvo,0,0,0,1
Scene2_0.4_1_sacadrl,0,324,1,0
Scene2_0.5_1_unaware,0,0,0,1
Scene2_0.5_1_sf,0,0,0,1
Scene2_0.5_1_rvo,0,0,0,3
Scene2_0.5_1_sacadrl,0,0,0,1
Scene2_0.7_1_unaware,0,0,0,1
Scene2_0.7_1_sf,0,0,0,1
Scene2_0.7_1_rvo,0,0,0,3
Scene2_0.7_1_sacadrl,0,355,1,1
Scene2_1.0_1_unaware,0,0,0,1
Scene2_1.0_1_sf,0,0,0,1
Scene2_1.0_1_rvo,0,0,0,3
Scene2_1.0_1_sacadrl,0,0,0,0
Scene2_1.5_1_unaware,0,0,0,2
Scene2_1.5_1_sf,1,0,0,7
Scene2_1.5_1_rvo,0,0,0,3
Scene2_1.5_1_sacadrl,0,0,0,4
Scene3_0.3_1_unaware,1,0,0,2
Scene3_0.3_1_sf,1,0,0,2
Scene3_0.3_1_rvo,0,0,0,2
Scene3_0.3_1_sacadrl,1,0,0,2
Scene3_0.4_1_unaware,1,0,0,2
Scene3_0.4_1_sf,1,0,0,2
Scene3_0.4_1_rvo,0,0,0,1
Scene3_0.4_1_sacadrl,2,0,0,3
Scene3_0.5_1_unaware,1,0,0,2
Scene3_0.5_1_sf,1,0,0,2
Scene3_0.5_1_rvo,1,0,0,2
Scene3_0.5_1_sacadrl,2,0,0,2
Scene3_0.7_1_unaware,1,0,0,2
Scene3_0.7_1_sf,1,0,0,2
Scene3_0.7_1_rvo,0,0,0,2
Scene3_0.7_1_sacadrl,0,0,0,1
Scene3_1.0_1_unaware,1,0,0,2
Scene3_1.0_1_sf,1,0,0,2
Scene3_1.0_1_rvo,1,0,0,2
Scene3_1.0_1_sacadrl,0,1,0,0
Scene3_1.5_1_unaware,1,0,0,2
Scene3_1.5_1_sf,0,0,0,0
Scene3_1.5_1_rvo,0,0,0,3
Scene3_1.5_1_sacadrl,0,0,0,1
Scene4_0.3_1_unaware,0,0,0,1
Scene4_0.3_1_sf,0,0,0,0
Scene4_0.3_1_rvo,0,0,0,1
Scene4_0.3_1_sacadrl,0,0,0,2
Scene4_0.4_1_unaware,0,0,0,1
Scene4_0.4_1_sf,0,0,0,0
Scene4_0.4_1_rvo,0,0,0,0
Scene4_0.4_1_sacadrl,2,0,0,4
Scene4_0.5_1_unaware,0,0,0,1
Scene4_0.5_1_sf,0,0,0,0
Scene4_0.5_1_rvo,0,0,0,0
Scene4_0.5_1_sacadrl,1,322,1,3
Scene4_0.7_1_unaware,0,0,0,1
Scene4_0.7_1_sf,0,0,0,0
Scene4_0.7_1_rvo,0,0,0,0
Scene4_0.7_1_sacadrl,0,0,0,0
Scene4_1.0_1_unaware,0,0,0,1
Scene4_1.0_1_sf,0,0,0,0
Scene4_1.0_1_rvo,0,0,0,0
Scene4_1.0_1_sacadrl,3,0,0,3
Scene4_1.5_1_unaware,0,0,0,3
Scene4_1.5_1_sf,0,0,0,1
Scene4_1.5_1_rvo,0,0,0,1
Scene4_1.5_1_sacadrl,2,4,0,3
Scene5_0.3_1_unaware,0,0,0,1
Scene5_0.3_1_sf,0,0,0,1
Scene5_0.3_1_rvo,0,0,0,1
Scene5_0.3_1_sacadrl,0,0,0,1
Scene5_0.4_1_unaware,0,0,0,1
Scene5_0.4_1_sf,0,0,0,1
Scene5_0.4_1_rvo,0,0,0,1
Scene5_0.4_1_sacadrl,1,0,0,4
Scene5_0.5_1_unaware,0,0,0,1
Scene5_0.5_1_sf,0,0,0,1
Scene5_0.5_1_rvo,0,0,0,1
Scene5_0.5_1_sacadrl,1,0,0,2
Scene5_0.7_1_unaware,0,0,0,1
Scene5_0.7_1_sf,0,0,0,1
Scene5_0.7_1_rvo,0,0,0,1
Scene5_0.7_1_sacadrl,1,0,0,1
Scene5_1.0_1_unaware,1,0,0,1
Scene5_1.0_1_sf,1,0,0,1
Scene5_1.0_1_rvo,0,0,0,1
Scene5_1.0_1_sacadrl,0,0,0,4
Scene5_1.5_1_unaware,1,0,0,1
Scene5_1.5_1_sf,1,0,0,1
Scene5_1.5_1_rvo,1,0,0,3
Scene5_1.5_1_sacadrl,1,0,0,1
Scene6_0.3_1_unaware,3,0,0,3
Scene6_0.3_1_sf,3,0,0,4
Scene6_0.3_1_rvo,1,0,0,4
Scene6_0.3_1_sacadrl,1,0,0,5
Scene6_0.4_1_unaware,3,0,0,3
Scene6_0.4_1_sf,3,0,0,4
Scene6_0.4_1_rvo,1,0,0,4
Scene6_0.4_1_sacadrl,0,8,0,1
Scene6_0.5_1_unaware,3,0,0,3
Scene6_0.5_1_sf,3,0,0,4
Scene6_0.5_1_rvo,1,0,0,4
Scene6_0.5_1_sacadrl,0,0,0,2
Scene6_0.7_1_unaware,3,0,0,3
Scene6_0.7_1_sf,3,0,0,4
Scene6_0.7_1_rvo,2,0,0,4
Scene6_0.7_1_sacadrl,3,412,1,6
Scene6_1.0_1_unaware,3,0,0,3
Scene6_1.0_1_sf,3,0,0,4
Scene6_1.0_1_rvo,2,0,0,4
Scene6_1.0_1_sacadrl,4,327,1,5
Scene6_1.5_1_unaware,4,0,0,4
Scene6_1.5_1_sf,3,0,0,4
Scene6_1.5_1_rvo,4,0,0,5
Scene6_1.5_1_sacadrl,1,0,0,3
Scene7_0.3_1_unaware,0,0,0,2
Scene7_0.3_1_sf,0,0,0,3
Scene7_0.3_1_rvo,0,0,0,2
Scene7_0.3_1_sacadrl,1,0,0,3
Scene7_0.4_1_unaware,0,0,0,2
Scene7_0.4_1_sf,0,0,0,3
Scene7_0.4_1_rvo,0,0,0,2
Scene7_0.4_1_sacadrl,1,0,0,3
Scene7_0.5_1_unaware,0,0,0,2
Scene7_0.5_1_sf,0,0,0,3
Scene7_0.5_1_rvo,0,0,0,2
Scene7_0.5_1_sacadrl,2,0,0,4
Scene7_0.7_1_unaware,0,0,0,2
Scene7_0.7_1_sf,0,0,0,3
Scene7_0.7_1_rvo,0,0,0,2
Scene7_0.7_1_sacadrl,1,374,1,3
Scene7_1.0_1_unaware,0,0,0,2
Scene7_1.0_1_sf,0,0,0,2
Scene7_1.0_1_rvo,0,0,0,2
Scene7_1.0_1_sacadrl,0,382,1,2
Scene7_1.5_1_unaware,0,0,0,2
Scene7_1.5_1_sf,0,12,0,0
Scene7_1.5_1_rvo,0,0,0,1
Scene7_1.5_1_sacadrl,1,0,0,3
Scene8_0.3_1_unaware,0,0,0,1
Scene8_0.3_1_sf,0,0,0,1
Scene8_0.3_1_rvo,0,0,0,1
Scene8_0.3_1_sacadrl,0,0,0,1
Scene8_0.4_1_unaware,0,0,0,1
Scene8_0.4_1_sf,0,0,0,1
Scene8_0.4_1_rvo,0,0,0,2
Scene8_0.4_1_sacadrl,0,0,0,1
Scene8_0.5_1_unaware,0,0,0,1
Scene8_0.5_1_sf,0,0,0,1
Scene8_0.5_1_rvo,0,0,0,1
Scene8_0.5_1_sacadrl,0,0,0,1
Scene8_0.7_1_unaware,0,0,0,1
Scene8_0.7_1_sf,0,0,0,1
Scene8_0.7_1_rvo,0,0,0,0
Scene8_0.7_1_sacadrl,0,0,0,0
Scene8_1.0_1_unaware,0,0,0,1
Scene8_1.0_1_sf,0,0,0,1
Scene8_1.0_1_rvo,0,0,0,0
Scene8_1.0_1_sacadrl,0,0,0,1
Scene8_1.5_1_unaware,0,0,0,0
Scene8_1.5_1_sf,0,0,0,0
Scene8_1.5_1_rvo,0,0,0,0
Scene8_1.5_1_sacadrl,0,0,0,2
Scene9_0.3_1_unaware,7,0,0,6
Scene9_0.3_1_sf,2,0,0,0
Scene9_0.3_1_rvo,2,0,0,0
Scene9_0.3_1_sacadrl,0,0,0,0
Scene9_0.4_1_unaware,7,0,0,6
Scene9_0.4_1_sf,2,0,0,0
Scene9_0.4_1_rvo,0,0,0,0
Scene9_0.4_1_sacadrl,0,0,0,0
Scene9_0.5_1_unaware,7,0,0,6
Scene9_0.5_1_sf,2,0,0,0
Scene9_0.5_1_rvo,0,0,0,0
Scene9_0.5_1_sacadrl,0,0,0,0
Scene9_0.7_1_unaware,7,0,0,6
Scene9_0.7_1_sf,2,0,0,0
Scene9_0.7_1_rvo,0,0,0,0
Scene9_0.7_1_sacadrl,1,0,0,1
Scene9_1.0_1_unaware,7,0,0,6
Scene9_1.0_1_sf,2,0,0,0
Scene9_1.0_1_rvo,0,0,0,0
Scene9_1.0_1_sacadrl,0,401,1,0
Scene9_1.5_1_unaware,0,0,0,0
Scene9_1.5_1_sf,2,0,0,0
Scene9_1.5_1_rvo,0,0,0,0
Scene9_1.5_1_sacadrl,1,0,0,0
